data,tag
Compra,-1
"¡¡¡COMPRO!!! todo: Muebles, electrodomésticos, amplificaciones, otros. 5289367, 67254876",-1
[1218-307],-1
"""COMPRO TODO"" roperos, modulares, comedores, living, televisores, computadoras, refrigeradores, equipos, otros. 5244435, 72476577",-1
[1218-1231],-1
►Otros,1
