data,tag
Oferta servicios,-1
"CEPILLADOR pisos, colocado parquet, tablonado. Ref.: 73357945",-1
[1118-1183],-1
CEPILLAMOS parqueteamos. 72465683,-1
[1118-1279],-1
"SE cepillan pisos, precios económicos. 5279684, 61840569",-1
[1218-1090],-1
"CARPINTERÍA: Realiza marcos, puertas, ventanas, muebles de cocina, roperos empotrados, muebles en general. 5274436, 67222425, 76141612",-1
[1218-1362],-1
"CEPILLADO parqueteado, plastificado 5285760, 77155688",-1
[1218-1438],-1
►Plomería,0
